169.254.0.16/28|169.254.0.16/30|169.254.0.20/30|169.254.0.24/30|169.254.0.28/30|
169.254.0.32/28|169.254.0.32/30|169.254.0.36/30|169.254.0.40/30|169.254.0.44/30|
169.254.0.48/28|169.254.0.48/30|169.254.0.52/30|169.254.0.56/30|169.254.0.60/30|
169.254.0.64/28|169.254.0.64/30|169.254.0.68/30|169.254.0.72/30|169.254.0.76/30|
169.254.0.80/28|169.254.0.80/30|169.254.0.84/30|169.254.0.88/30|169.254.0.92/30|
169.254.0.96/28|169.254.0.96/30|169.254.0.100/30|169.254.0.104/30|169.254.0.108/30|
169.254.0.112/28|169.254.0.112/30|169.254.0.116/30|169.254.0.120/30|169.254.0.124/30|
169.254.0.128/28|169.254.0.128/30|169.254.0.132/30|169.254.0.136/30|169.254.0.140/30|
169.254.0.144/28|169.254.0.144/30|169.254.0.148/30|169.254.0.152/30|169.254.0.156/30|
169.254.0.160/28|169.254.0.160/30|169.254.0.164/30|169.254.0.168/30|169.254.0.172/30|
169.254.0.176/28|169.254.0.176/30|169.254.0.180/30|169.254.0.184/30|169.254.0.188/30|
169.254.0.192/28|169.254.0.192/30|169.254.0.196/30|169.254.0.200/30|169.254.0.204/30|
169.254.0.208/28|169.254.0.208/30|169.254.0.212/30|169.254.0.216/30|169.254.0.220/30|
169.254.0.224/28|169.254.0.224/30|169.254.0.228/30|169.254.0.232/30|169.254.0.236/30|
169.254.0.240/28|169.254.0.240/30|169.254.0.244/30|169.254.0.248/30|169.254.0.252/30|
169.254.1.16/28|169.254.1.16/30|169.254.1.20/30|169.254.1.24/30|169.254.1.28/30|
169.254.1.32/28|169.254.1.32/30|169.254.1.36/30|169.254.1.40/30|169.254.1.44/30|
169.254.1.48/28|169.254.1.48/30|169.254.1.52/30|169.254.1.56/30|169.254.1.60/30|
169.254.1.64/28|169.254.1.64/30|169.254.1.68/30|169.254.1.72/30|169.254.1.76/30|
169.254.1.80/28|169.254.1.80/30|169.254.1.84/30|169.254.1.88/30|169.254.1.92/30|
169.254.1.96/28|169.254.1.96/30|169.254.1.100/30|169.254.1.104/30|169.254.1.108/30|
169.254.1.112/28|169.254.1.112/30|169.254.1.116/30|169.254.1.120/30|169.254.1.124/30|
169.254.1.128/28|169.254.1.128/30|169.254.1.132/30|169.254.1.136/30|169.254.1.140/30|
169.254.1.144/28|169.254.1.144/30|169.254.1.148/30|169.254.1.152/30|169.254.1.156/30|
